,logFC,AveExpr,t,P.Value,adj.P.Val,B,g
BCKDK,-1.40133110177036,1.62943319439772,-1.40350266225977,0.172445557643795,0.29989520580005,-5.7282328453766,stable
POLH,1.19497463484862,2.24619653725872,1.40327171619258,0.172513652350621,0.299989828111849,-5.72854058114321,stable
HOXD3,0.412258383375737,0.322363673002802,1.40318570782364,0.172539017457231,0.300010137358607,-5.72865517627532,stable
SPDEF,-0.527472801571684,0.275586338781638,-1.40303645251654,0.172583042008105,0.300062885775672,-5.72885402559098,stable
SLC10A7,0.937372694219113,0.672439880231719,1.40292231925389,0.17261671291536,0.300097625808359,-5.72900607043055,stable
LINC00637,0.845237114510881,1.35866025101758,1.40256761148474,0.172721389877422,0.300255795995477,-5.72947853373099,stable
EME1,-0.670942628327725,0.566458347097827,-1.40250589455826,0.172739608145688,0.300263654758673,-5.72956072894373,stable
B3GNT5,-0.766172025086367,1.07187887696647,-1.40243179439974,0.172761483840508,0.300277869272739,-5.72965941217987,stable
MIR197,-1.30154931347733,0.533611842750185,-1.4022154274567,0.172825371796042,0.300321823580363,-5.72994753435253,stable
TMEM161B-AS1,1.14821177233356,1.71286101154545,1.40221301593277,0.172826083966484,0.300321823580363,-5.72995074541212,stable
STK19,1.55335333980373,2.03249047257744,1.40220695794466,0.172827873019766,0.300321823580363,-5.72995881189256,stable
C17orf77,0.603062510958808,0.701659574365504,1.40208362240411,0.172864299828114,0.300361312344015,-5.73012303216462,stable
SLAMF1,-0.632107590097289,0.326442575209077,-1.40160361294094,0.173006127165021,0.300583919599304,-5.73076204322888,stable
BCRP2,0.148837341900585,0.1467496453527,1.40137824070876,0.173072749178624,0.300675838860724,-5.7310620047103,stable
MIR4499,-1.06774257512511,0.455676263299447,-1.40128886772796,0.173099174241633,0.300697915726352,-5.73118094516613,stable
MIR25,-1.27941580514695,0.526234006640059,-1.40120333382705,0.173124467188642,0.300718022602394,-5.73129477037172,stable
MIR484,-1.04852868267798,0.449271632483736,-1.40019733004784,0.173422168867622,0.301211264063636,-5.73263307506105,stable
MYRIP,1.2761978300151,1.17913890100522,1.39973029604897,0.17356051355936,0.301420085223124,-5.73325409908046,stable
C6orf1,-1.44143611780999,1.67766982195709,-1.39965387578029,0.173583159064721,0.301420085223124,-5.7333556996879,stable
COL16A1,-0.538554049394281,0.37995192209725,-1.39964178770834,0.173586741319412,0.301420085223124,-5.73337177032253,stable
SLC47A2,0.717940252398867,0.605186758975684,1.3996058264261,0.173597398656171,0.301420085223124,-5.73341957878518,stable
MIR4675,-1.03705414444527,0.445446786406167,-1.39952680029845,0.173620820331503,0.301436876483992,-5.73352463579628,stable
REST,-1.37117713140431,2.54008391715823,-1.39921039713936,0.173714620596855,0.301575845260446,-5.73394520999779,stable
ZNF862,0.260230690939225,0.221011878045127,1.39900858049348,0.173774471710766,0.301647882059576,-5.73421342925642,stable
TPTE,1.2877188547793,1.06849558561357,1.39897768083294,0.173783636810839,0.301647882059576,-5.73425449273729,stable
KCND3,0.643415152810814,0.79769270205746,1.39884649552121,0.17382255174029,0.301678445972722,-5.73442882016644,stable
STRBP,1.02028258555459,1.46799034855457,1.39880853143149,0.173833814728472,0.301678445972722,-5.73447926666481,stable
TBC1D13,-1.02087823801914,0.996852227140629,-1.39877915173132,0.173842531341062,0.301678445972722,-5.73451830546344,stable
IQCD,-0.495566374227431,0.26495086300022,-1.3986316126355,0.173886309690058,0.301730530730291,-5.73471434004422,stable
ZNF224,0.455761782684858,0.526230243759161,1.39855135372955,0.173910128073783,0.301747975107281,-5.73482097228284,stable
PAQR4,-0.557697408814566,0.413680854357346,-1.39791054566435,0.174100392859773,0.30205419168018,-5.73567216400652,stable
CCDC157,1.26474042617234,2.32353005817753,1.39780799803137,0.174130855949836,0.302083134953811,-5.73580834804246,stable
PIAS2,1.14163677274656,0.989534835161886,1.39774315590291,0.174150120311829,0.302092647571069,-5.7358944544669,stable
SNORD43,-1.00452453080317,0.434603581858799,-1.39754541124742,0.174208879944223,0.302170664445112,-5.73615702628626,stable
MIR3942,-1.00050736119901,0.43326452532408,-1.39729208740513,0.174284177789158,0.30227735274279,-5.73649335148355,stable
MPZL3,1.31606545163579,2.40054827144987,1.39718300151786,0.174316610348474,0.302309684766526,-5.7366381631915,stable
SNORA33,-0.932500719054287,0.666465842162486,-1.39709418656298,0.174343019638451,0.302331566608218,-5.73675605804997,stable
RPS28,-1.66512564667364,9.79583970882025,-1.39702325218291,0.174364114379457,0.302336267155655,-5.73685021324308,stable
CHAMP1,1.42939931206973,2.29925562086593,1.39696881306969,0.174380305063047,0.302336267155655,-5.73692247056361,stable
PCDHB10,0.906574801555886,0.686641538088711,1.39694594524522,0.174387106515036,0.302336267155655,-5.73695282242769,stable
RANBP9,1.36741909942745,1.6934068800084,1.39631738258181,0.174574138618472,0.302636590957336,-5.73778693056392,stable
LYZL1,-0.322110125690183,0.207132113487804,-1.39604073746352,0.174656506069663,0.302755438047847,-5.73815393914084,stable
ARL17A,1.06603403771511,1.9529919928906,1.39598104358764,0.174674283167156,0.302762312114116,-5.73823312327406,stable
ADAM1A,-0.402903195243643,0.293926917574676,-1.39580221782778,0.174727546823333,0.302830688955905,-5.73847031890382,stable
SNORD123,-0.975966154269965,0.425084123014398,-1.39570079244189,0.174757762309854,0.302852854826405,-5.73860483861378,stable
KCNE4,1.84245789912891,3.27593130462042,1.39566653976168,0.174767967408148,0.302852854826405,-5.73865026578869,stable
CEACAM21,-0.236838632591906,0.178708282455045,-1.39552461000212,0.174810258379613,0.302902195394791,-5.73883848812141,stable
IFFO2,-0.38011595763529,0.239700317278441,-1.3952420322561,0.174894482479353,0.303014842180223,-5.73921318411285,stable
AFMID,1.25944203408811,5.24378177697388,1.39521374673036,0.174902914926616,0.303014842180223,-5.73925068693027,stable
CASC1,0.884931025512284,0.68801635404579,1.39493849070015,0.174984990708776,0.303133078973217,-5.73961560553193,stable
SCARNA22,-1.79777089922784,1.73205466459175,-1.39435090418995,0.17516029898082,0.303412794465314,-5.74039438748026,stable
GPKOW,-1.03216164064294,1.19610271094808,-1.39409803315532,0.175235786553334,0.303519306392027,-5.74072945396386,stable
ANKRD18B,0.527286021670347,0.472259787645235,1.3940521700548,0.175249480452712,0.303519306392027,-5.74079021923466,stable
CCDC153,0.89345798516758,0.948608493632957,1.3938577598894,0.17530753723202,0.303595870095047,-5.74104777953273,stable
ADAT1,-1.32664565931565,1.89658459692803,-1.39378211290832,0.175330131824893,0.303611013487123,-5.74114799055508,stable
EXOC4,-1.37307757785252,2.33392307587696,-1.39369102088403,0.175357342669043,0.303624370619689,-5.74126865573934,stable
FLRT2,1.36023476355832,1.80804912613551,1.39362662819423,0.175376579949576,0.303624370619689,-5.7413539495328,stable
SNRPD3,-1.69869687874028,4.73408351717752,-1.3936171962639,0.175379397873569,0.303624370619689,-5.74136644267228,stable
SMURF2,1.3691499450604,3.00627647973367,1.39354920063412,0.175399713598445,0.303630809302619,-5.74145650468828,stable
MIR548AA1,-1.15007622485101,0.48312081320808,-1.3935120332161,0.175410819260452,0.303630809302619,-5.74150573232762,stable
TTC13,-0.469399945964509,0.376393465869364,-1.39336302250743,0.17545534938965,0.303683909512082,-5.74170308328189,stable
AMOT,-0.323294522007603,0.209367777098605,-1.39324688594094,0.175490061654206,0.303720009594335,-5.74185688292008,stable
OR7E5P,0.642941959934213,0.54326084466782,1.39319422228923,0.175505804174563,0.303723275701476,-5.7419266217651,stable
MIR1260B,-1.1227359797461,0.474007398173109,-1.39294271945509,0.175581000229962,0.30381128561233,-5.74225963847348,stable
DMRT1,0.693537918584513,0.580193677684691,1.39288309656933,0.175598830424138,0.30381128561233,-5.74233857800723,stable
GK5,1.20191539529529,1.58435530513579,1.39286839272764,0.17560322782052,0.30381128561233,-5.74235804516058,stable
TNFRSF10A,-1.12126793665935,1.484077601547,-1.39282152472975,0.175617244953288,0.30381128561233,-5.74242009487749,stable
ELF2,1.20577303900148,2.97182992600629,1.39279239522292,0.175625957359584,0.30381128561233,-5.74245865925962,stable
FAM110B,0.266959440658594,0.225497711191373,1.39256700626011,0.175693380967601,0.303903937835618,-5.74275702700409,stable
SUCO,-0.940339864370604,1.21648049688541,-1.39212064445033,0.175826967474327,0.304111011046609,-5.74334779430466,stable
PPME1,-1.43043569281669,2.76685116277624,-1.39199699161191,0.175863988301503,0.304151044383215,-5.74351142217646,stable
PAPL,0.918427476239703,1.03785514078545,1.39168089569833,0.175958653274668,0.304290757213159,-5.74392965031763,stable
UBE2G2,1.19255650397333,4.60902977349974,1.39153294539104,0.1760029755233,0.304343395633531,-5.74412537615397,stable
SNHG16,-1.37136183853118,3.24153309355006,-1.39145539297839,0.176026211827678,0.304359566924951,-5.74422796435741,stable
IL15,1.46665774911645,1.57352415642039,1.39139319510264,0.176044849346292,0.304367784724353,-5.74431023766585,stable
CLOCK,0.876407398385132,1.10294245461906,1.39117987179698,0.176108783256244,0.304454308971619,-5.7445923907745,stable
SHCBP1L,1.18355528834466,1.19751494695308,1.39101362612722,0.176158620507678,0.304512420931132,-5.74481225069614,stable
SMARCA1,-0.603902279473615,0.611267928693245,-1.39097507062724,0.176170180295088,0.304512420931132,-5.74486323713132,stable
LINC00323,0.763096050464062,0.556255451061686,1.39090665268719,0.176190694973771,0.304523868526376,-5.74495371117083,stable
CASP6,-1.50762419341575,3.65394215471861,-1.39068790865552,0.176256296619163,0.30461323542957,-5.74524294677275,stable
UBE2H,1.61475575906878,2.74686743845326,1.39035583453194,0.176355922979593,0.304761386490789,-5.74568195918986,stable
G3BP2,1.25761951756012,4.50169619913533,1.3899519129676,0.176477164385669,0.304946864299089,-5.74621583496053,stable
SNORD83B,-0.895004853455038,0.398097022742756,-1.3898555954358,0.17650608484335,0.304958738246512,-5.74634312120811,stable
ANKZF1,1.20940251912469,2.29813758142347,1.3898363650303,0.176511859443992,0.304958738246512,-5.74636853380776,stable
TENM2,0.654958008332436,0.484163422973934,1.38973027573944,0.17654371913827,0.304989744442432,-5.74650872328051,stable
BRCA1,-1.45368334595623,2.58178842003808,-1.38964183455204,0.176570282396654,0.305011596565568,-5.74662558501981,stable
